name,year,country,wanted
MINH JIMMIE,1965,Nigeria,false
MINH EVERETT,1959,Pakistan,true
MINH JORDAN,1992,Sudan,false
MINH IAN,1977,Sudan,false
MINH WALLACE,1956,Pakistan,false
MINH KEN,1976,Afganistan,false
MINH BOB,1974,Sudan,false
MINH JAIME,1969,Siria,true
MINH CASEY,1985,Siria,false
MINH ALFREDO,1989,Afganistan,false
MINH ALBERTO,1961,Afganistan,false
MINH DAVE,1994,Afganistan,false
MINH IVAN,1988,Pakistan,false
MINH JOHNNIE,1960,Nigeria,false
MINH SIDNEY,1975,Siria,false
MINH BYRON,1962,Afganistan,true
MINH JULIAN,1980,Afganistan,false
MINH ISAAC,1966,Afganistan,false
MINH MORRIS,1968,Afganistan,false
MINH CLIFTON,1980,Sudan,false
MINH WILLARD,1960,Nigeria,true
MINH DARYL,1975,Afganistan,false
MINH ROSS,1992,Sudan,false
MINH VIRGIL,1994,Nigeria,false
MINH ANDY,1975,Afganistan,false
MINH MARSHALL,1988,Afganistan,false
MINH SALVADOR,1992,Nigeria,false
MINH PERRY,1986,Nigeria,false
MINH KIRK,1975,Pakistan,true
MINH SERGIO,1967,Sudan,false
MINH MARION,1959,Siria,false
MINH TRACY,1963,Siria,false
MINH SETH,1992,Sudan,false
MINH KENT,1988,Afganistan,false
MINH TERRANCE,1956,Pakistan,false
MINH RENE,1966,Afganistan,false
MINH EDUARDO,1981,Siria,true
MINH TERRENCE,1978,Siria,true
MINH ENRIQUE,1968,Nigeria,false
MINH FREDDIE,1974,Pakistan,false
MINH WADE,1990,Afganistan,false
MINH AUSTIN,1973,Nigeria,false
MINH STUART,1991,Afganistan,false
MINH FREDRICK,1971,Siria,true
MINH ARTURO,1965,Sudan,false
MINH ALEJANDRO,1953,Siria,false
MINH JACKIE,1976,Sudan,false
MINH JOEY,1967,Siria,false
MINH NICK,1985,Pakistan,false
MINH LUTHER,1978,Afganistan,false
MINH WENDELL,1955,Afganistan,false
MINH JEREMIAH,1967,Sudan,true
MINH EVAN,1975,Afganistan,false
MINH JULIUS,1991,Pakistan,false
MINH DANA,1964,Afganistan,false
MINH DONNIE,1955,Pakistan,false
MINH OTIS,1982,Afganistan,false
MINH SHANNON,1994,Sudan,false
MINH TREVOR,1958,Pakistan,false
MINH OLIVER,1968,Sudan,true
MINH LUKE,1993,Siria,false
MINH HOMER,1985,Nigeria,false
MINH GERARD,1995,Afganistan,false
MINH DOUG,1967,Afganistan,true
MINH KENNY,1994,Siria,false
MINH HUBERT,1974,Siria,false
MINH ANGELO,1956,Sudan,false
MINH SHAUN,1977,Siria,false
MINH LYLE,1951,Sudan,false
MINH MATT,1974,Siria,false
MINH LYNN,1986,Sudan,false
MINH ALFONSO,1965,Pakistan,false
MINH ORLANDO,1963,Pakistan,false
MINH REX,1971,Afganistan,false
MINH CARLTON,1976,Nigeria,false
MINH ERNESTO,1971,Pakistan,false
MINH CAMERON,1960,Sudan,false
MINH NEAL,1961,Pakistan,false
MINH PABLO,1972,Sudan,false
MINH LORENZO,1965,Siria,false
MINH OMAR,1968,Nigeria,false
MINH WILBUR,1978,Afganistan,false
MINH BLAKE,1971,Siria,true
MINH GRANT,1988,Nigeria,false
MINH HORACE,1975,Siria,false
MINH RODERICK,1956,Nigeria,false
MINH KERRY,1994,Afganistan,false
MINH ABRAHAM,1969,Siria,true
MINH WILLIS,1976,Siria,true
MINH RICKEY,1993,Pakistan,false
MINH JEAN,1987,Sudan,false
MINH IRA,1955,Pakistan,false
MINH ANDRES,1969,Nigeria,false
MINH CESAR,1957,Nigeria,false
MINH JOHNATHAN,1958,Nigeria,true
MINH MALCOLM,1968,Siria,true
MINH RUDOLPH,1993,Nigeria,true
MINH DAMON,1974,Sudan,true
MINH KELVIN,1956,Pakistan,false
MINH RUDY,1973,Sudan,false
MINH PRESTON,1964,Pakistan,false
MINH ALTON,1952,Pakistan,false
MINH ARCHIE,1964,Siria,false
MINH MARCO,1979,Sudan,false
MINH WM,1987,Siria,false
MINH PETE,1991,Pakistan,false
MINH RANDOLPH,1995,Nigeria,false
MINH GARRY,1987,Afganistan,false
MINH GEOFFREY,1990,Pakistan,false
MINH JONATHON,1952,Nigeria,false
MINH FELIPE,1992,Siria,false
MINH BENNIE,1967,Nigeria,false
MINH GERARDO,1953,Nigeria,true
MINH ED,1984,Nigeria,false
MINH DOMINIC,1992,Nigeria,false
MINH ROBIN,1969,Nigeria,false
MINH LOREN,1969,Siria,false
MINH DELBERT,1990,Nigeria,false
MINH COLIN,1953,Sudan,false
MINH GUILLERMO,1971,Pakistan,false
MINH EARNEST,1969,Siria,false
MINH LUCAS,1995,Pakistan,false
MINH BENNY,1957,Nigeria,false
MINH NOEL,1994,Sudan,true
MINH SPENCER,1952,Afganistan,false
MINH RODOLFO,1954,Pakistan,false
MINH MYRON,1992,Siria,false
MINH EDMUND,1965,Pakistan,true
MINH GARRETT,1952,Sudan,false
MINH SALVATORE,1981,Nigeria,true
MINH CEDRIC,1990,Afganistan,false
MINH LOWELL,1985,Siria,false
MINH GREGG,1964,Siria,false
MINH SHERMAN,1975,Afganistan,false
MINH WILSON,1990,Sudan,false
MINH DEVIN,1955,Pakistan,false
MINH SYLVESTER,1990,Siria,false
MINH KIM,1955,Afganistan,false
MINH ROOSEVELT,1958,Afganistan,false
MINH ISRAEL,1953,Pakistan,false
MINH JERMAINE,1992,Siria,false
MINH FORREST,1986,Nigeria,true
MINH WILBERT,1974,Siria,false
MINH LELAND,1951,Sudan,false
MINH SIMON,1962,Nigeria,false
MINH GUADALUPE,1993,Pakistan,false
MINH CLARK,1982,Pakistan,false
MINH IRVING,1993,Sudan,false
MINH CARROLL,1964,Afganistan,false
MINH BRYANT,1962,Pakistan,false
MINH OWEN,1961,Siria,false
MINH RUFUS,1970,Sudan,false
MINH WOODROW,1951,Afganistan,false
MINH SAMMY,1983,Nigeria,true
MINH KRISTOPHER,1961,Siria,false
MINH MACK,1989,Sudan,false
MINH LEVI,1958,Nigeria,false
MINH MARCOS,1954,Afganistan,false
MINH GUSTAVO,1964,Sudan,false
MINH JAKE,1958,Afganistan,false
MINH LIONEL,1973,Siria,false
MINH MARTY,1961,Siria,true
MINH TAYLOR,1957,Pakistan,false
MINH ELLIS,1984,Afganistan,false
MINH DALLAS,1993,Nigeria,false
MINH GILBERTO,1953,Pakistan,false
MINH CLINT,1968,Nigeria,false
MINH NICOLAS,1956,Nigeria,true
MINH LAURENCE,1968,Pakistan,false
MINH ISMAEL,1954,Nigeria,false
MINH ORVILLE,1954,Pakistan,false
MINH DREW,1983,Sudan,true
MINH JODY,1987,Afganistan,true
MINH ERVIN,1986,Siria,false
MINH DEWEY,1981,Nigeria,false
MINH AL,1956,Nigeria,false
MINH WILFRED,1961,Nigeria,false
MINH JOSH,1991,Sudan,true
MINH HUGO,1973,Pakistan,false
MINH IGNACIO,1983,Afganistan,false
MINH CALEB,1962,Siria,false
MINH TOMAS,1982,Pakistan,false
MINH SHELDON,1994,Afganistan,false
MINH ERICK,1974,Pakistan,false
MINH FRANKIE,1983,Siria,false
MINH STEWART,1981,Siria,false
MINH DOYLE,1973,Sudan,false
MINH DARREL,1971,Sudan,false
MINH ROGELIO,1950,Afganistan,false
MINH TERENCE,1950,Afganistan,false
MINH SANTIAGO,1991,Nigeria,false
MINH ALONZO,1957,Pakistan,false
MINH ELIAS,1971,Pakistan,false
MINH BERT,1985,Siria,true
MINH ELBERT,1979,Nigeria,false
MINH RAMIRO,1972,Nigeria,false
MINH CONRAD,1966,Sudan,false
MINH PAT,1979,Sudan,false
MINH NOAH,1974,Siria,false
MINH GRADY,1974,Afganistan,false
MINH PHIL,1967,Pakistan,false
MINH CORNELIUS,1966,Afganistan,true
MINH LAMAR,1953,Pakistan,false
MINH ROLANDO,1963,Sudan,true
MINH CLAY,1992,Pakistan,false
MINH PERCY,1953,Pakistan,false
MINH DEXTER,1952,Pakistan,false
MINH BRADFORD,1954,Nigeria,false
MINH MERLE,1958,Nigeria,false
MINH DARIN,1962,Nigeria,false
MINH AMOS,1959,Pakistan,false
MINH TERRELL,1985,Sudan,false
MINH MOSES,1970,Nigeria,false
MINH IRVIN,1992,Pakistan,false
MINH SAUL,1950,Afganistan,false
MINH ROMAN,1989,Afganistan,false
MINH DARNELL,1962,Sudan,false
MINH RANDAL,1961,Sudan,false
MINH TOMMIE,1962,Sudan,false
MINH TIMMY,1987,Nigeria,false
MINH DARRIN,1989,Afganistan,false
MINH WINSTON,1978,Pakistan,false
MINH BRENDAN,1972,Pakistan,false
MINH TOBY,1966,Afganistan,false
MINH VAN,1989,Pakistan,true
MINH ABEL,1977,Afganistan,false
MINH DOMINICK,1992,Pakistan,false
MINH BOYD,1974,Siria,true
MINH COURTNEY,1958,Siria,false
MINH JAN,1952,Nigeria,false
MINH EMILIO,1983,Nigeria,false
MINH ELIJAH,1983,Sudan,false
MINH CARY,1959,Nigeria,false
MINH DOMINGO,1985,Siria,false
MINH SANTOS,1975,Sudan,false
MINH AUBREY,1973,Sudan,false
MINH EMMETT,1953,Siria,false
MINH MARLON,1988,Nigeria,false
MINH EMANUEL,1954,Siria,false
MINH JERALD,1959,Nigeria,false
MINH EDMOND,1977,Siria,false
MINH EMIL,1971,Pakistan,false
MINH DEWAYNE,1959,Afganistan,false
MINH WILL,1964,Nigeria,true
MINH OTTO,1958,Afganistan,true
MINH TEDDY,1968,Pakistan,false
MINH REYNALDO,1966,Sudan,false
MINH BRET,1990,Siria,false
MINH MORGAN,1976,Sudan,false
MINH JESS,1971,Nigeria,true
MINH TRENT,1988,Nigeria,true
MINH HUMBERTO,1958,Afganistan,true
MINH EMMANUEL,1970,Sudan,false
MINH STEPHAN,1979,Afganistan,true
MINH LOUIE,1964,Sudan,false
MINH VICENTE,1956,Afganistan,true
MINH LAMONT,1976,Sudan,false
MINH STACY,1964,Afganistan,false
MINH GARLAND,1960,Afganistan,false
MINH MILES,1987,Afganistan,false
MINH MICAH,1992,Nigeria,true
MINH EFRAIN,1962,Siria,false
MINH BILLIE,1982,Siria,false
MINH LOGAN,1975,Pakistan,true
MINH HEATH,1974,Siria,false
MINH RODGER,1953,Afganistan,false
MINH HARLEY,1955,Sudan,false
MINH DEMETRIUS,1980,Siria,false
MINH ETHAN,1972,Sudan,false
MINH ELDON,1993,Siria,false
MINH ROCKY,1967,Afganistan,false
MINH PIERRE,1963,Nigeria,false
MINH JUNIOR,1985,Sudan,false
MINH FREDDY,1991,Pakistan,false
MINH ELI,1984,Nigeria,false
MINH BRYCE,1976,Nigeria,false
MINH ANTOINE,1964,Siria,false
MINH ROBBIE,1989,Sudan,false
MINH KENDALL,1968,Nigeria,true
MINH ROYCE,1952,Sudan,false
MINH STERLING,1968,Afganistan,true
MINH MICKEY,1953,Nigeria,false
MINH CHASE,1960,Afganistan,false
MINH GROVER,1950,Siria,false
MINH ELTON,1978,Afganistan,false
MINH CLEVELAND,1951,Afganistan,false
MINH DYLAN,1973,Afganistan,true
MINH CHUCK,1980,Nigeria,true
MINH DAMIAN,1970,Sudan,false
MINH REUBEN,1994,Pakistan,true
MINH STAN,1967,Afganistan,false
MINH AUGUST,1980,Pakistan,false
MINH LEONARDO,1990,Siria,false
MINH JASPER,1970,Afganistan,false
MINH RUSSEL,1972,Siria,false
MINH ERWIN,1970,Nigeria,true
MINH BENITO,1951,Sudan,true
MINH HANS,1995,Siria,false
MINH MONTE,1973,Nigeria,false
MINH BLAINE,1953,Pakistan,false
MINH ERNIE,1961,Afganistan,true
MINH CURT,1981,Nigeria,false
MINH QUENTIN,1976,Pakistan,false
MINH AGUSTIN,1983,Siria,false
MINH MURRAY,1957,Sudan,true
MINH JAMAL,1974,Siria,false
MINH DEVON,1958,Pakistan,false
MINH ADOLFO,1987,Nigeria,false
MINH HARRISON,1977,Pakistan,false
MINH TYSON,1950,Siria,false
MINH BURTON,1956,Nigeria,false
MINH BRADY,1967,Sudan,false
MINH ELLIOTT,1972,Afganistan,false
MINH WILFREDO,1981,Siria,true
MINH BART,1975,Sudan,false
MINH JARROD,1959,Afganistan,false
MINH VANCE,1973,Nigeria,false
MINH DENIS,1989,Nigeria,false
MINH DAMIEN,1961,Siria,false
MINH JOAQUIN,1971,Afganistan,false
MINH HARLAN,1972,Siria,false
MINH DESMOND,1989,Siria,true
MINH ELLIOT,1976,Pakistan,true
MINH DARWIN,1973,Nigeria,false
MINH ASHLEY,1990,Afganistan,false
MINH GREGORIO,1960,Nigeria,false
MINH BUDDY,1952,Siria,false
MINH XAVIER,1991,Pakistan,false
MINH KERMIT,1954,Afganistan,false
MINH ROSCOE,1960,Nigeria,false
MINH ESTEBAN,1953,Siria,false
MINH ANTON,1982,Afganistan,true
MINH SOLOMON,1973,Sudan,false
MINH SCOTTY,1951,Siria,false
MINH NORBERT,1982,Siria,true
MINH ELVIN,1979,Pakistan,false
MINH WILLIAMS,1966,Nigeria,true
MINH NOLAN,1994,Pakistan,false
MINH CAREY,1987,Afganistan,false
MINH ROD,1961,Siria,true
MINH QUINTON,1952,Pakistan,false
MINH HAL,1963,Sudan,false
MINH BRAIN,1993,Sudan,false
MINH ROB,1960,Afganistan,false
MINH ELWOOD,1977,Siria,true
MINH KENDRICK,1995,Pakistan,false
MINH DARIUS,1966,Afganistan,false
MINH MOISES,1978,Pakistan,false
MINH SON,1987,Nigeria,true
MINH MARLIN,1995,Pakistan,false
MINH FIDEL,1971,Nigeria,true
MINH THADDEUS,1953,Siria,false
MINH CLIFF,1975,Sudan,false
MINH MARCEL,1959,Siria,false
MINH ALI,1952,Afganistan,false
MINH JACKSON,1960,Pakistan,false
MINH RAPHAEL,1963,Nigeria,true
MINH BRYON,1985,Nigeria,false
MINH ARMAND,1982,Nigeria,false
MINH ALVARO,1959,Siria,false
MINH JEFFRY,1979,Sudan,false
MINH DANE,1961,Siria,false
MINH JOESPH,1983,Siria,false
MINH THURMAN,1968,Siria,false
MINH NED,1979,Nigeria,false
MINH SAMMIE,1958,Nigeria,false
MINH RUSTY,1953,Siria,true
MINH MICHEL,1964,Sudan,false
MINH MONTY,1972,Nigeria,false
MINH RORY,1958,Pakistan,false
MINH FABIAN,1980,Sudan,false
MINH REGGIE,1975,Nigeria,false
MINH MASON,1968,Pakistan,false
MINH GRAHAM,1975,Nigeria,true
MINH KRIS,1964,Afganistan,true
MINH ISAIAH,1953,Pakistan,true
MINH VAUGHN,1977,Pakistan,false
MINH GUS,1954,Siria,true
MINH AVERY,1979,Siria,false
MINH LOYD,1966,Pakistan,false
MINH DIEGO,1992,Pakistan,false
MINH ALEXIS,1955,Siria,true
MINH ADOLPH,1985,Sudan,true
MINH NORRIS,1986,Nigeria,false
MINH MILLARD,1968,Sudan,false
MINH ROCCO,1954,Sudan,false
MINH GONZALO,1963,Nigeria,false
MINH DERICK,1961,Pakistan,false
MINH RODRIGO,1972,Pakistan,false
MINH GERRY,1969,Siria,false
MINH STACEY,1965,Sudan,false
MINH CARMEN,1965,Pakistan,false
MINH WILEY,1951,Pakistan,false
MINH RIGOBERTO,1965,Pakistan,false
MINH ALPHONSO,1955,Afganistan,false
MINH TY,1977,Pakistan,false
MINH SHELBY,1979,Sudan,false
MINH RICKIE,1973,Pakistan,false
MINH NOE,1965,Afganistan,false
MINH VERN,1961,Nigeria,false
MINH BOBBIE,1970,Sudan,true
MINH REED,1991,Nigeria,false
MINH JEFFERSON,1994,Siria,false
MINH ELVIS,1969,Pakistan,false
MINH BERNARDO,1984,Siria,false
MINH MAURICIO,1967,Nigeria,false
MINH HIRAM,1992,Afganistan,false
MINH DONOVAN,1967,Sudan,false
MINH BASIL,1955,Nigeria,false
MINH RILEY,1950,Sudan,false
MINH OLLIE,1989,Nigeria,false
MINH NICKOLAS,1986,Siria,false
MINH MAYNARD,1960,Sudan,false
MINH SCOT,1951,Afganistan,false
MINH VINCE,1950,Pakistan,false
MINH QUINCY,1956,Pakistan,false
MINH EDDY,1979,Pakistan,false
MINH SEBASTIAN,1969,Sudan,false
MINH FEDERICO,1994,Siria,false
MINH ULYSSES,1980,Afganistan,false
MINH HERIBERTO,1958,Nigeria,false
MINH DONNELL,1967,Nigeria,false
MINH COLE,1978,Sudan,false
MINH DENNY,1979,Siria,true
MINH DAVIS,1970,Sudan,false
MINH GAVIN,1951,Afganistan,false
MINH EMERY,1950,Pakistan,false
MINH WARD,1968,Afganistan,false
MINH ROMEO,1953,Afganistan,false
MINH JAYSON,1990,Siria,false
MINH DION,1964,Pakistan,true
MINH DANTE,1993,Sudan,false
MINH CLEMENT,1961,Afganistan,false
MINH COY,1959,Nigeria,true
MINH ODELL,1961,Siria,false
MINH MAXWELL,1983,Siria,false
MINH JARVIS,1992,Pakistan,false
MINH BRUNO,1982,Afganistan,false
MINH ISSAC,1989,Nigeria,false
MINH MARY,1968,Nigeria,false
MINH DUDLEY,1959,Afganistan,true
MINH BROCK,1956,Afganistan,false
MINH SANFORD,1975,Pakistan,false
MINH COLBY,1987,Pakistan,false
MINH CARMELO,1993,Afganistan,false
MINH BARNEY,1986,Pakistan,false
MINH NESTOR,1959,Sudan,false
MINH HOLLIS,1956,Siria,false
MINH STEFAN,1993,Afganistan,true
MINH DONNY,1957,Siria,false
MINH ART,1994,Siria,false
MINH LINWOOD,1980,Nigeria,true
MINH BEAU,1970,Sudan,false
MINH WELDON,1957,Nigeria,false
MINH GALEN,1979,Afganistan,true
MINH ISIDRO,1950,Nigeria,false
MINH TRUMAN,1975,Siria,false
MINH DELMAR,1971,Nigeria,false
MINH JOHNATHON,1989,Pakistan,false
MINH SILAS,1951,Siria,false
MINH FREDERIC,1981,Afganistan,false
MINH DICK,1989,Pakistan,false
MINH KIRBY,1953,Afganistan,false
MINH IRWIN,1989,Pakistan,false
MINH CRUZ,1972,Nigeria,false
MINH MERLIN,1960,Afganistan,false
MINH MERRILL,1959,Nigeria,false
MINH CHARLEY,1973,Pakistan,false
MINH MARCELINO,1982,Nigeria,false
MINH LANE,1984,Afganistan,false
MINH HARRIS,1959,Sudan,false
MINH CLEO,1981,Sudan,true
MINH CARLO,1986,Siria,false
MINH TRENTON,1978,Afganistan,false
MINH KURTIS,1958,Siria,false
MINH HUNTER,1994,Siria,false
MINH AURELIO,1995,Sudan,false
MINH WINFRED,1977,Pakistan,false
MINH VITO,1982,Afganistan,true
MINH COLLIN,1988,Nigeria,false
MINH DENVER,1952,Siria,false
MINH CARTER,1981,Sudan,false
MINH LEONEL,1985,Afganistan,false
MINH EMORY,1989,Nigeria,false
MINH PASQUALE,1995,Sudan,true
MINH MOHAMMAD,1980,Pakistan,false
MINH MARIANO,1960,Pakistan,false
MINH DANIAL,1988,Siria,false
MINH BLAIR,1950,Sudan,true
MINH LANDON,1995,Pakistan,false
MINH DIRK,1959,Nigeria,false
MINH BRANDEN,1981,Siria,false
MINH ADAN,1962,Afganistan,false
MINH NUMBERS,1989,Siria,false
MINH CLAIR,1982,Afganistan,false
MINH BUFORD,1993,Afganistan,false
MINH GERMAN,1950,Pakistan,false
MINH BERNIE,1950,Nigeria,false
MINH WILMER,1989,Sudan,false
MINH JOAN,1980,Sudan,false
MINH EMERSON,1978,Pakistan,false
MINH ZACHERY,1973,Nigeria,false
MINH FLETCHER,1971,Siria,false
MINH JACQUES,1983,Sudan,false
MINH ERROL,1954,Nigeria,false
MINH DALTON,1958,Pakistan,false
MINH MONROE,1965,Nigeria,true
MINH JOSUE,1963,Afganistan,true
MINH DOMINIQUE,1961,Nigeria,false
MINH EDWARDO,1986,Siria,true
MINH BOOKER,1988,Sudan,false
MINH WILFORD,1966,Sudan,false
MINH SONNY,1992,Afganistan,false
MINH SHELTON,1992,Sudan,false
MINH CARSON,1995,Nigeria,false
MINH THERON,1974,Pakistan,false
MINH RAYMUNDO,1988,Nigeria,false
MINH DAREN,1967,Pakistan,false
MINH TRISTAN,1975,Siria,false
MINH HOUSTON,1992,Pakistan,true
MINH ROBBY,1980,Sudan,false
MINH LINCOLN,1955,Nigeria,false
MINH JAME,1978,Sudan,false
MINH GENARO,1995,Nigeria,false
MINH GALE,1992,Pakistan,true
MINH BENNETT,1995,Nigeria,false
MINH OCTAVIO,1994,Afganistan,false
MINH CORNELL,1958,Siria,false
MINH LAVERNE,1991,Sudan,false
MINH HUNG,1994,Pakistan,false
MINH ARRON,1955,Pakistan,true
MINH ANTONY,1951,Siria,false
MINH HERSCHEL,1987,Afganistan,true
MINH ALVA,1954,Nigeria,false
MINH GIOVANNI,1950,Siria,false
MINH GARTH,1982,Siria,false
MINH CYRUS,1955,Afganistan,true
MINH CYRIL,1981,Pakistan,false
MINH RONNY,1976,Pakistan,false
MINH STEVIE,1972,Sudan,false
MINH LON,1979,Nigeria,false
MINH FREEMAN,1963,Nigeria,false
MINH ERIN,1992,Afganistan,false
MINH DUNCAN,1957,Siria,true
MINH KENNITH,1995,Siria,false
MINH CARMINE,1959,Afganistan,false
MINH AUGUSTINE,1978,Pakistan,false
MINH YOUNG,1988,Sudan,false
MINH ERICH,1950,Afganistan,true
MINH CHADWICK,1965,Nigeria,false
MINH WILBURN,1994,Sudan,false
MINH RUSS,1973,Siria,false
MINH REID,1980,Nigeria,true
MINH MYLES,1990,Nigeria,true
MINH ANDERSON,1970,Siria,false
MINH MORTON,1967,Nigeria,true
MINH JONAS,1993,Afganistan,false
MINH FOREST,1987,Afganistan,false
MINH MITCHEL,1967,Siria,false
MINH MERVIN,1965,Nigeria,false
MINH ZANE,1971,Sudan,false
MINH RICH,1981,Sudan,false
MINH JAMEL,1972,Pakistan,false
MINH LAZARO,1979,Afganistan,false
MINH ALPHONSE,1984,Siria,false
MINH RANDELL,1950,Sudan,false
MINH MAJOR,1993,Pakistan,false
MINH JOHNIE,1965,Sudan,false
MINH JARRETT,1955,Pakistan,false
MINH BROOKS,1957,Sudan,false
MINH ARIEL,1957,Nigeria,false
MINH ABDUL,1981,Siria,false
MINH DUSTY,1976,Sudan,false
MINH LUCIANO,1966,Sudan,true
MINH LINDSEY,1968,Pakistan,false
MINH TRACEY,1995,Nigeria,false
MINH SEYMOUR,1968,Pakistan,true
MINH SCOTTIE,1977,Sudan,false
MINH EUGENIO,1970,Nigeria,false
MINH MOHAMMED,1978,Nigeria,false
MINH SANDY,1958,Nigeria,false
MINH VALENTIN,1958,Pakistan,false
MINH CHANCE,1970,Siria,true
MINH ARNULFO,1986,Afganistan,false
MINH LUCIEN,1989,Pakistan,false
MINH FERDINAND,1962,Afganistan,true
MINH THAD,1972,Siria,false
MINH EZRA,1981,Sudan,false
MINH SYDNEY,1966,Siria,false
MINH ALDO,1978,Afganistan,false
MINH RUBIN,1973,Sudan,false
MINH ROYAL,1966,Afganistan,false
MINH MITCH,1980,Afganistan,false
MINH EARLE,1987,Nigeria,false
MINH ABE,1974,Siria,false
MINH WYATT,1969,Sudan,false
MINH MARQUIS,1976,Pakistan,true
MINH LANNY,1969,Afganistan,false
MINH KAREEM,1962,Pakistan,false
MINH JAMAR,1965,Sudan,true
MINH BORIS,1962,Pakistan,false
MINH ISIAH,1955,Sudan,true
MINH EMILE,1987,Pakistan,false
MINH ELMO,1979,Siria,true
MINH ARON,1964,Nigeria,false
MINH LEOPOLDO,1968,Pakistan,true
MINH EVERETTE,1962,Siria,false
MINH JOSEF,1963,Nigeria,false
MINH GAIL,1974,Nigeria,true
MINH ELOY,1961,Afganistan,false
MINH DORIAN,1986,Afganistan,false
MINH RODRICK,1959,Sudan,false
MINH REINALDO,1991,Nigeria,false
MINH LUCIO,1967,Pakistan,false
MINH JERROD,1967,Afganistan,true
MINH WESTON,1984,Sudan,false
MINH HERSHEL,1983,Siria,false
MINH BARTON,1975,Sudan,false
MINH PARKER,1952,Afganistan,true
MINH LEMUEL,1981,Sudan,false
MINH LAVERN,1980,Pakistan,false
MINH BURT,1975,Afganistan,false
MINH JULES,1970,Siria,false
MINH GIL,1994,Sudan,false
MINH ELISEO,1968,Pakistan,false
MINH AHMAD,1984,Nigeria,false
MINH NIGEL,1994,Sudan,false
MINH EFREN,1959,Siria,false
MINH ANTWAN,1973,Afganistan,false
MINH ALDEN,1953,Sudan,false
MINH MARGARITO,1989,Pakistan,false
MINH COLEMAN,1978,Sudan,false
MINH REFUGIO,1987,Afganistan,false
MINH DINO,1950,Afganistan,true
MINH OSVALDO,1983,Sudan,false
MINH LES,1957,Siria,false
MINH DEANDRE,1983,Pakistan,false
MINH NORMAND,1952,Siria,false
MINH KIETH,1955,Nigeria,false
MINH IVORY,1969,Nigeria,false
MINH ANDREA,1981,Pakistan,false
MINH TREY,1980,Nigeria,false
MINH NORBERTO,1971,Sudan,false
MINH NAPOLEON,1980,Sudan,false
MINH JEROLD,1979,Siria,true
MINH FRITZ,1992,Pakistan,false
MINH ROSENDO,1958,Afganistan,false
MINH MILFORD,1960,Nigeria,false
MINH SANG,1976,Siria,false
MINH DEON,1984,Siria,false
MINH CHRISTOPER,1964,Pakistan,false
MINH ALFONZO,1978,Afganistan,false
MINH LYMAN,1968,Afganistan,false
MINH JOSIAH,1960,Pakistan,false
MINH BRANT,1961,Siria,false
MINH WILTON,1987,Sudan,false
MINH RICO,1966,Pakistan,false
MINH JAMAAL,1960,Pakistan,true
MINH DEWITT,1963,Pakistan,false
MINH CAROL,1960,Afganistan,false
MINH BRENTON,1967,Nigeria,false
MINH YONG,1968,Afganistan,false
MINH OLIN,1985,Pakistan,false
MINH FOSTER,1981,Nigeria,false
MINH FAUSTINO,1977,Siria,false
MINH CLAUDIO,1965,Pakistan,false
MINH JUDSON,1982,Afganistan,false
MINH GINO,1988,Pakistan,false
MINH EDGARDO,1960,Nigeria,true
MINH BERRY,1982,Afganistan,false
MINH ALEC,1994,Nigeria,false
MINH TANNER,1981,Nigeria,true
MINH JARRED,1960,Afganistan,false
MINH DONN,1971,Sudan,false
MINH TRINIDAD,1963,Sudan,true
MINH TAD,1978,Sudan,true
MINH SHIRLEY,1991,Sudan,true
MINH PRINCE,1991,Afganistan,false
MINH PORFIRIO,1969,Siria,false
MINH ODIS,1988,Siria,false
MINH MARIA,1955,Pakistan,true
MINH LENARD,1993,Afganistan,false
MINH CHAUNCEY,1963,Sudan,true
MINH CHANG,1984,Afganistan,false
MINH TOD,1956,Sudan,false
MINH MEL,1971,Nigeria,false
MINH MARCELO,1984,Sudan,false
MINH KORY,1988,Pakistan,true
MINH AUGUSTUS,1969,Siria,false
MINH KEVEN,1969,Siria,false
MINH HILARIO,1989,Siria,true
MINH BUD,1993,Sudan,false
MINH SAL,1987,Sudan,false
MINH ROSARIO,1951,Pakistan,false
MINH ORVAL,1981,Pakistan,true
MINH MAURO,1983,Afganistan,true
MINH DANNIE,1982,Afganistan,false
MINH ZACHARIAH,1956,Afganistan,true
MINH OLEN,1986,Nigeria,false
MINH ANIBAL,1975,Sudan,false
MINH MILO,1990,Pakistan,false
MINH JED,1951,Siria,false
MINH FRANCES,1972,Sudan,false
MINH THANH,1988,Sudan,false
MINH DILLON,1971,Afganistan,false
MINH AMADO,1958,Nigeria,false
MINH NEWTON,1974,Afganistan,false
MINH CONNIE,1953,Pakistan,false
MINH LENNY,1983,Afganistan,false
MINH TORY,1964,Pakistan,true
MINH RICHIE,1973,Nigeria,false
MINH LUPE,1976,Sudan,true
MINH HORACIO,1975,Pakistan,false
MINH BRICE,1969,Nigeria,false
MINH MOHAMED,1954,Nigeria,false
MINH DELMER,1954,Sudan,false
MINH DARIO,1962,Afganistan,true
MINH REYES,1979,Sudan,true
MINH DEE,1990,Nigeria,false
MINH MAC,1953,Siria,true
MINH JONAH,1970,Afganistan,false
MINH JERROLD,1953,Siria,false
MINH ROBT,1992,Sudan,false
MINH HANK,1981,Nigeria,false
MINH SUNG,1955,Siria,false
MINH RUPERT,1974,Nigeria,false
MINH ROLLAND,1992,Afganistan,false
